I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",Matric percentage,It is difficult to convey complex concepts in online mode and hence quality of education suffers.,Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,I opted for this program of study because of my own interest.,TVFs are not aware of the university's curriculum and other requirements.,"It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",TVFs are not very well prepared for the lectures due to their busy schedule.,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.", scholarship,number of students,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,Maximum Mobile Usage,SGPA in BS Second semester,My classes schedule is usually very tight that hinders the process of learning.,Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Lowest Mobile Usage,Instructors often miss lectures and arrange makeup classes that further increases my burden.,I often come across health issues that effect my academic performance.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ",lecture mode,A proper classroom environment and discipline is not possible to maintain in online environment.,Intermediate percentage,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,ID No.,Intermediate ,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,SGPA in BS Fourth semester,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students., family members,Father's Education,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,attendance,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I prefer to revise the lectures daily or before the next class of the same subject.,sitting place,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues., lecture language,"Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",I am usually well prepared for exams but unable to attempt properly due to exam stress.,My preferable time of study is:,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.",Un-announced quizzes are a form of torture and have negative impact on learning environment.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,lecture material,I am easily distracted by social media and other sources of interruptions during online lectures.,Lack of technical resources create disruptions during lectures and make it difficult to understand. ,My preferable mode of study is:,residence place,Mother's Education,SGPA in BS First semester,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,Basic Education,lecture duration,Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",guidance,SGPA in BS Third semester,Gender,TVFs often reschedule classes that negatively impacts my performance.,SGPA in BS Fifth semester,CGPA in BS Fifth semester
3,2,87.27,0,0,3,3,0,1,2,2,0,0,2,1,2.87,1,0,0,2,1,0,3,2,67.45,3,0,34,1,4,2.87,3,4,2,1,0,3,1,1,2,2,0,2,0,2,1,3,3,3,2,2,0,0,0,3,3.19,0,1,2,4,0,0,3.24,1,2,2.54,2.93
3,4,81.82,3,3,2,4,3,4,4,4,0,3,4,1,2.84,4,4,0,4,3,4,2,2,67.82,3,4,35,1,2,2.05,2,5,2,3,3,3,0,1,2,3,3,2,3,3,0,2,4,4,0,4,2,0,0,3,3.23,4,1,2,4,4,0,2.35,1,4,2.28,2.54
3,3,80.0,0,2,3,2,0,2,3,0,0,0,2,2,2.8,1,3,1,0,2,0,2,0,73.18,0,2,36,0,2,2.7,3,4,2,2,4,0,1,1,2,4,2,2,0,3,1,3,3,3,0,0,0,0,1,3,3.25,2,0,0,0,2,0,2.86,0,0,3.48,3.02
3,3,85.55,0,2,3,2,0,2,3,0,0,0,1,0,2.94,1,3,4,0,2,0,2,0,74.0,0,2,37,1,0,3.2,3,6,2,4,4,0,1,1,0,4,4,2,0,3,1,3,3,3,0,0,0,0,1,4,3.23,0,1,0,0,0,0,3.14,1,0,2.98,3.1
0,2,84.91,0,3,4,2,2,2,2,1,0,0,2,1,2.2,2,2,0,2,2,2,2,0,76.73,0,2,38,1,2,2.78,0,7,3,0,0,2,2,1,2,0,4,2,1,2,1,0,0,1,0,2,1,1,0,4,2.63,2,1,0,2,2,0,2.73,1,2,2.35,2.53
0,3,77.82,3,3,4,3,3,1,0,2,0,0,3,2,2.98,0,0,1,2,0,3,3,3,72.91,3,3,39,1,2,2.63,3,7,0,4,3,3,4,2,4,2,3,2,3,0,1,3,3,1,0,3,2,0,1,2,3.44,3,1,2,2,0,1,3.08,1,2,2.83,2.98
3,3,87.73,4,0,0,3,4,2,3,4,1,3,3,2,3.2,3,3,1,3,3,3,3,4,70.82,4,0,40,1,1,2.09,3,7,2,2,2,0,2,3,1,2,3,2,3,3,1,3,3,3,2,2,3,1,0,3,3.25,3,1,0,3,2,1,2.63,0,3,2.46,2.71
3,3,86.64,4,3,0,2,4,2,3,4,1,0,2,2,2.63,3,3,1,3,3,3,2,4,68.73,4,2,41,1,4,2.59,3,5,2,3,2,2,2,3,2,3,3,2,3,2,1,3,3,3,0,4,3,1,0,3,2.81,2,1,0,3,3,1,2.65,1,2,2.91,2.72
2,2,84.09,2,2,2,1,0,1,1,1,0,2,1,2,2.61,1,2,1,0,3,2,2,1,72.55,0,1,42,1,3,3.0,3,5,0,0,2,3,1,3,1,2,4,2,0,0,0,0,0,2,1,1,0,1,1,3,3.12,1,1,0,0,2,1,2.94,1,1,3.19,2.97
3,0,73.64,0,2,3,2,0,2,0,0,0,3,0,2,2.76,0,0,1,3,0,2,2,0,81.64,0,0,43,1,3,3.28,3,6,0,3,3,3,0,3,2,3,2,2,2,3,0,0,3,3,2,0,0,1,0,3,2.92,2,1,2,4,4,1,3.04,0,0,2.96,3.0
3,3,84.45,3,3,1,3,3,3,3,3,1,0,3,0,2.98,1,3,4,3,3,3,1,3,73.27,3,3,44,1,4,2.94,0,7,3,3,4,0,1,1,3,3,3,1,3,1,1,3,0,2,0,3,2,1,0,1,3.44,3,1,0,0,2,0,3.08,1,3,2.48,2.97
2,3,81.73,3,0,2,3,4,3,3,2,0,0,3,3,1.8,3,3,2,3,3,0,2,3,75.64,3,3,45,1,3,2.35,3,6,2,0,3,3,2,3,3,0,0,2,2,3,1,3,3,3,2,2,3,0,1,3,2.79,3,1,0,2,3,1,2.49,1,3,2.59,2.4
3,2,87.75,2,2,2,2,2,2,2,2,0,1,2,1,2.27,2,2,0,2,2,2,1,2,70.73,2,2,46,1,2,2.24,3,5,4,0,0,2,2,3,2,2,2,2,2,2,0,3,3,3,2,2,1,1,1,3,2.9,2,1,0,2,2,0,1.94,1,2,2.61,2.39
0,0,85.64,1,3,0,2,2,2,2,0,0,2,1,2,3.63,0,0,1,3,3,0,2,1,79.73,2,1,47,1,3,3.24,0,4,2,3,2,2,0,3,2,3,3,2,3,2,0,1,2,2,0,1,1,1,0,3,3.63,2,1,0,1,1,1,3.27,0,2,3.48,3.45
4,3,86.73,1,3,3,4,2,4,0,1,0,0,4,4,2.71,2,3,3,2,0,3,2,1,71.73,1,4,48,1,2,2.5,0,6,0,0,0,2,2,2,4,3,3,0,3,2,1,2,3,3,1,2,1,0,0,2,2.86,4,1,0,3,3,0,2.96,1,4,2.67,2.73
3,2,83.33,4,3,2,1,3,4,2,3,1,3,2,0,2.63,4,2,4,3,3,3,3,3,76.45,4,1,49,1,3,2.54,2,7,1,3,2,3,2,1,4,3,3,2,3,2,0,4,2,4,2,3,2,0,0,1,2.86,4,1,2,3,2,0,3.14,1,1,2.78,2.78
0,0,73.09,2,0,0,2,0,2,0,2,0,3,2,2,2.04,0,2,1,2,0,2,2,1,76.73,2,2,50,1,0,2.46,0,5,0,0,2,3,1,3,2,0,0,2,0,3,0,0,0,0,0,2,0,1,1,0,3.23,2,1,0,2,2,1,2.22,1,2,2.45,2.47
3,0,80.18,2,3,3,0,1,4,0,1,0,3,0,2,2.86,1,0,1,0,0,0,2,0,84.73,2,0,51,1,1,3.3,3,7,0,3,4,3,4,3,3,3,3,2,4,0,1,3,3,3,2,1,0,0,1,2,3.38,0,1,0,2,2,1,2.82,1,4,3.37,3.15
4,1,80.91,2,1,0,2,2,2,1,2,0,3,2,2,2.41,1,2,1,2,1,0,3,2,71.36,0,2,52,1,1,2.33,2,6,2,1,2,0,2,1,2,2,0,2,1,2,1,1,0,0,0,2,1,0,0,2,2.94,2,1,0,0,1,0,2.88,1,2,2.33,2.57
3,2,91.82,0,0,3,3,0,1,2,0,1,3,2,2,3.04,1,0,1,3,0,0,2,3,70.18,0,2,53,1,0,3.04,3,6,1,2,0,3,1,2,1,2,1,1,0,0,1,2,0,0,0,3,0,1,1,2,3.48,0,1,0,1,2,0,2.71,1,0,3.02,3.05
3,0,85.41,4,3,0,4,4,4,0,4,0,3,4,2,2.2,4,0,1,1,1,0,2,0,66.27,4,4,54,1,2,2.17,3,4,1,2,0,3,3,3,4,2,0,2,3,1,0,3,3,3,2,4,3,0,0,2,3.02,1,1,0,3,2,0,2.14,1,1,2.65,2.43
3,2,87.45,0,3,3,2,0,2,0,2,0,1,2,3,2.88,0,3,2,0,2,0,2,0,85.0,3,0,55,1,0,2.19,0,6,2,0,0,0,1,1,0,3,3,2,3,3,1,3,2,2,2,0,0,1,0,2,3.21,0,1,0,1,4,0,2.39,0,0,2.72,2.67
3,1,85.71,0,2,3,1,2,1,1,0,1,3,1,2,2.21,3,2,1,0,2,2,2,0,73.27,0,4,56,1,0,3.15,0,5,0,2,3,0,2,1,4,3,0,2,1,2,1,0,0,2,1,2,0,0,0,2,3.25,1,1,2,2,0,0,2.8,1,3,2.91,2.86
4,4,82.82,4,3,2,2,4,2,4,4,1,3,2,4,2.51,4,4,3,4,4,4,2,4,72.55,4,2,57,1,4,2.2,4,6,2,3,2,4,4,0,2,3,3,2,3,4,1,4,4,4,0,4,3,0,0,0,3.35,2,1,1,4,4,1,2.63,1,2,2.56,2.64
3,2,82.73,0,3,3,0,0,1,2,0,0,3,1,2,2.8,0,2,1,1,3,2,3,0,61.45,0,1,58,1,2,2.09,0,4,3,3,0,3,0,3,1,3,3,2,3,3,1,2,0,0,2,0,0,1,0,0,3.44,2,1,2,4,2,0,2.2,1,2,2.06,2.5
3,2,91.73,3,0,1,2,0,4,0,3,0,3,1,1,2.39,0,3,0,2,3,4,1,0,73.45,3,1,59,1,0,2.43,3,7,1,3,3,0,1,3,4,1,0,2,0,0,1,3,3,3,2,0,1,0,1,0,1.94,2,1,0,0,0,0,2.49,1,1,3.11,2.48
0,2,88.73,2,2,1,0,2,2,2,2,0,3,2,2,2.27,0,2,1,2,2,2,2,2,71.91,2,2,60,1,0,2.22,3,7,2,2,4,0,0,3,2,2,2,2,2,3,1,0,3,3,2,3,1,1,1,0,3.29,2,1,0,1,2,1,1.69,1,2,2.24,2.33
3,2,89.09,2,0,2,2,2,2,2,0,0,3,2,2,2.12,0,2,1,2,2,2,1,2,73.82,2,2,61,1,2,2.15,3,6,1,3,4,2,2,1,2,0,3,1,0,2,0,3,3,3,2,2,1,0,0,4,2.29,2,1,0,2,2,0,2.39,1,2,1.93,2.17
0,2,88.27,0,1,0,1,0,0,2,0,0,3,0,1,1.35,0,2,0,0,0,0,2,0,79.27,0,0,62,1,2,3.06,0,4,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,3.005774648,0,1,0,0,1,1,3.18,1,0,3.32,2.754109589
3,1,86.1,0,3,0,1,3,1,1,0,0,0,2,2,2.31,2,2,1,2,3,0,2,2,78.18,0,2,63,1,3,2.56,2,5,1,0,2,3,4,1,2,2,0,2,3,3,0,2,2,2,2,0,2,1,0,1,2.65,1,1,0,2,0,1,2.51,1,2,3.15,2.64
0,0,74.95,1,3,0,2,3,2,2,0,0,0,3,4,1.26,2,0,3,1,0,0,3,4,79.82,3,0,64,1,1,1.46,0,5,1,0,2,3,1,1,2,0,0,2,2,1,1,0,0,0,0,1,1,0,0,3,2.9,0,1,0,0,1,0,2.58,0,4,2.13,2.17
3,1,80.0,1,3,2,1,0,1,3,0,0,0,0,2,2.35,1,3,1,2,4,2,2,0,77.36,0,1,65,1,0,1.83,3,3,2,3,1,3,4,3,0,3,3,2,3,0,0,3,3,3,0,0,0,0,0,0,2.58,1,1,0,2,3,1,2.16,1,0,1.93,2.16
